Sentence,Artistic Process,Best Selling Books,Blueprints Toolkit,Business Models,Discovery Invention,Expert Advice Recommentations,Governance Structure,Health Regimes,Industry Standards,Lifestyle,Operations Manual,Philosopy Values,Production Method,Regulations,Solutions Playbooks,Strategies,Category_Tag,Filename
"State two ways in which we show commitment 
to our symbols of national identity. (",3.263793,7.447554,3.845576,1.829456,3.027385,4.035625,21.750207,2.421581,8.325222,5.228527,0.619914,15.53325,1.530208,16.385977,2.598014,2.157711,Governance Structure,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"2 marks)
2.",2.592389,10.569265,3.502013,1.446742,8.140786,3.096011,1.49269,3.890391,11.792924,2.157008,1.257059,2.362829,1.420343,42.999912,2.299805,0.979834,Regulations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
What is the meaning of the term “sovereignty”?,2.550309,8.336678,0.465695,2.170528,1.249474,0.605749,66.260919,0.897626,2.225866,1.944422,0.409211,5.043023,0.762435,5.596645,0.577196,0.904225,Governance Structure,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
(1 mark)Figure F3.,1.649188,4.864903,2.764519,2.343688,14.523295,3.005479,1.068582,3.17388,15.243771,1.113291,1.797642,2.025497,2.769751,40.409346,2.396665,0.850503,Regulations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Example of an open-format item from 
Zambia.",5.990032,6.376229,23.807244,7.065512,4.006364,4.64738,1.012015,3.245359,16.556747,2.722211,2.375709,2.405383,5.477621,10.046957,2.209828,2.05541,Blueprints Toolkit,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Appendix F: Examples of tool formats



= 148



= 152 = 111= ?",4.944081,4.008264,16.15626,3.377006,7.500233,3.435664,1.892053,1.623425,21.294546,0.858364,9.024783,1.604136,6.311138,9.732057,6.56066,1.677329,Industry Standards,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
What is the total bottom row?,2.257645,8.010338,4.397275,12.07478,2.264912,7.155335,2.199371,4.432874,11.589997,2.158554,3.956304,5.947296,3.176926,21.082408,2.979823,6.316162,Regulations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Source: Gambia Country Study (2019) : OAA Mini-Study, UNESCOIn Senegal, several families live in the same house.",1.485153,13.410478,3.648555,3.19282,4.855874,8.214418,4.390715,6.40864,9.88622,16.901059,1.64407,3.482056,4.742594,14.457333,2.305743,0.974272,Lifestyle,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"After an investigation in the community, a group 
of students identified in a confused (disordered) 
way the causes and the consequences of this 
phenomenon, and the solutions recommended to 
face this population problem.",1.649984,18.245776,2.016588,5.725013,8.847399,8.894872,2.390659,3.382391,5.023091,4.12865,2.176892,17.134928,2.898425,2.761115,11.872264,2.851952,Best Selling Books,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Here is the information identified by the students:
Absence of family planning – respiratory and 
skin diseases – fight against the rural exodus – 
subdivision of new serviced plots – school failures – 
slums – conflicts and rivalries – rural depopulation 
– lack of space – unconstrained housing – ill-health 
– poverty – education for family life
The teacher asks you to order this information across 
the three categories of CAUSES, CONSEQUENCES, 
and SOLUTIONS
Source: Senegal Country Study (2019) : OAA Mini-Study, UNESCO
Source: Zambia Country Study (2018) : OAA Mini-Study, UNESCOCapturing 21st Century Skills:  Analysis of assessments in selected sub-Saharan African countries54
ENGLISH FRANÇAIS
Creativity Créativité
Initiative spirit (leadership) Esprit d’initiative
Imagination Imagination
Communication Communication
Self-Management (self-regulation) Auto-gestion (autorégulation)
Entrepreneurship Entrepreneuriat
ICT Literacy Littératie en TIC
Cooperation Coopération
Global citizenship Citoyenneté mondiale
Confidence Confiance en soi
Respect Respect
Self-esteem Estime de soi
Meta-cognition Méta-cognition
Critical Thinking Pensée critique
Solving problem Résolution de problèmes
Knowledge application Application des savoirs
Teamwork Travail d’équipe
Self-learning Auto-apprentissage
Conflict resolution skills Compétences en résolution de conflits
Self-efficacy Auto-efficacité
Living Together Vivre ensemble
Patriotism Patriotisme
Environmental awareness Sensibilisation à l'environnement
Self-awareness Conscience de soi
Empowerment of girls Autonomisation des filles
Bilingualism Bilinguisme/multilinguisme
Inclusion Inclusion
Resilience Résilience
Perseverance Persévérance
Collaboration Collaboration
Moral Morale
Tolerance Tolérance
Citizenship Citoyenneté
Leadership Leadership
Innovation InnovationAppendix G: Draft list of 21st century skills 
developed by participating countries55
COUNTRY REFERENCES /BIBLIOGRAPHY (unpublished)
ChadMoustapha Oumar Ali (2019), 1.",1.766716,18.872991,5.284673,3.101869,4.942611,16.023995,3.002347,4.790999,8.448759,7.882298,2.558484,5.470373,2.327611,7.032132,5.288736,3.205406,Best Selling Books,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Description du ministère de l’éducation 
nationale et de la promotion civique du Tchad.",2.642265,13.902895,2.802022,2.991637,3.537457,6.479353,11.601779,2.358368,13.460231,4.490132,1.860007,6.787112,3.619119,17.874156,2.74004,2.853427,Regulations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
2,2.181584,7.5881,2.216026,3.212898,6.126296,3.955868,1.635917,2.872684,8.375738,2.728468,2.022268,2.877294,2.431387,46.976584,2.156208,2.642679,Regulations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Mini-étude sur l’OAA – 
Définition des concepts.",1.835133,5.798201,2.959001,6.714705,7.956849,6.059484,1.661888,2.82577,22.309913,2.999258,4.6643,3.904011,4.331337,15.308613,6.861325,3.810212,Industry Standards,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
3,2.409913,6.087103,2.731921,3.151299,3.690298,4.974425,1.819495,2.842043,5.905476,2.134146,2.137841,2.791485,2.834445,51.182518,2.322215,2.985376,Regulations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Le cas du Tchad: identifier les besoins systémiques 
de mise en œuvre, UNESCO
Côte d’IvoireFatogoma Coulibaly et Youssouf Coulibaly (2018), 1.",1.845124,8.163656,4.33004,3.1932,5.641358,8.035306,3.754472,2.454861,18.447198,3.865243,3.391648,4.75022,3.053486,19.377558,5.380759,4.315873,Regulations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Structure éducative et 
cadre d'évaluation à grande échelle de la Côte d’Ivoire.",2.781213,4.699319,5.446855,3.631121,3.660282,16.412059,6.411973,2.908212,11.71876,5.796506,2.914336,4.393279,4.347528,10.235433,10.429917,4.213205,Expert Advice Recommentations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
2,2.181584,7.5881,2.216026,3.212898,6.126296,3.955868,1.635917,2.872684,8.375738,2.728468,2.022268,2.877294,2.431387,46.976584,2.156208,2.642679,Regulations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Mini-étude sur l’OAA 
– Définition des concepts, UNESCO
Democratic Republic of CongoNduku Kasang et Jovin Mukadi (2019), 1.",1.927985,8.292725,4.104352,4.680993,9.388363,6.306972,3.093415,2.141372,15.665988,3.651766,2.851064,5.54037,2.59788,21.805186,5.016003,2.935566,Regulations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Amélioration de l’évaluation, 
l’enseignement et l’apprentissage des compétences du XXIème siècle en 
Afrique.",3.040375,6.435631,6.147742,1.873706,5.737277,29.720847,2.906206,2.432318,8.198278,3.30641,2.010964,7.728771,3.83,7.927319,5.71744,2.986717,Expert Advice Recommentations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
2,2.181584,7.5881,2.216026,3.212898,6.126296,3.955868,1.635917,2.872684,8.375738,2.728468,2.022268,2.877294,2.431387,46.976584,2.156208,2.642679,Regulations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Mini-étude sur l’OAA– définition des concepts, UNESCO
GambiaGambia National Commission for UNESCO and Momodou Jeng (2019), 1.",1.711871,7.122318,5.127627,3.198573,5.21563,4.887604,3.695781,1.821366,24.522284,3.184133,3.338029,4.763085,2.367992,22.098963,4.896124,2.048619,Industry Standards,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"The 
Gambia Education System.",2.154982,10.409659,3.610683,5.686055,4.03238,7.286583,8.816396,3.006537,14.411112,3.947355,3.113519,5.88869,6.05976,12.299425,6.128229,3.148636,Industry Standards,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
2,2.181584,7.5881,2.216026,3.212898,6.126296,3.955868,1.635917,2.872684,8.375738,2.728468,2.022268,2.877294,2.431387,46.976584,2.156208,2.642679,Regulations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
OAA mini-study – Definitions of skills.,3.192406,5.11998,4.030374,3.273029,3.814847,12.60801,1.227599,2.143328,11.907806,3.047851,7.464698,2.81106,5.126278,7.850572,23.075364,3.306798,Solutions Playbooks,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
3,2.409913,6.087103,2.731921,3.151299,3.690298,4.974425,1.819495,2.842043,5.905476,2.134146,2.137841,2.791485,2.834445,51.182518,2.322215,2.985376,Regulations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"The case 
of the Gambia: identifying opportunities for modifying and expanding items, 
UNESCO
KenyaAssumpta Kamene Mulila Matei and Andrew Ngugi Gatonye (2019), 1.",2.285915,7.348714,9.381776,5.570266,7.343351,11.713788,3.056682,2.387288,10.285822,3.726782,2.487211,6.152655,3.862136,15.199542,3.532299,5.665775,Regulations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Education 
and Assessment in Kenya.",2.510695,6.203234,3.776206,2.409738,1.928333,19.960873,5.369494,3.085852,15.778139,9.55442,1.824518,5.670774,2.864614,10.219299,6.810843,2.032969,Expert Advice Recommentations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
2,2.181584,7.5881,2.216026,3.212898,6.126296,3.955868,1.635917,2.872684,8.375738,2.728468,2.022268,2.877294,2.431387,46.976584,2.156208,2.642679,Regulations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"OAA mini-study – Definitions of skills, UNESCO
LesothoMethalali Bridget Khoarai and Mamposi Masoloja Anastacia Motlomelo (2019), 1.",2.795635,9.880524,8.010145,2.768559,4.083596,12.802715,2.979646,2.334884,14.148429,6.364928,2.769378,6.079456,2.926712,11.159233,7.722667,3.173493,Industry Standards,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
Education System of Lesotho.,2.790244,7.917284,5.316996,5.541709,2.287688,12.928709,5.762686,3.53426,11.739693,8.570718,2.145973,5.505421,4.871023,10.896468,5.391543,4.799584,Expert Advice Recommentations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
2,2.181584,7.5881,2.216026,3.212898,6.126296,3.955868,1.635917,2.872684,8.375738,2.728468,2.022268,2.877294,2.431387,46.976584,2.156208,2.642679,Regulations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"OAA mini-study – Description of skills, UNESCO
MaliMohamed Maiga et Mamadou Bamory Kone (2019), 1.",2.352289,9.312782,4.24852,2.41079,9.304974,14.874939,1.916381,2.841962,12.444345,4.813014,3.860394,4.855592,3.231075,12.816406,8.411973,2.304565,Expert Advice Recommentations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Présentation du système 
éducatif malien.",2.421443,24.580038,3.740427,3.93426,6.698808,8.51973,4.349697,2.727443,10.825226,3.283776,1.824586,5.798496,1.956169,10.47327,6.458282,2.408348,Best Selling Books,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
2,2.181584,7.5881,2.216026,3.212898,6.126296,3.955868,1.635917,2.872684,8.375738,2.728468,2.022268,2.877294,2.431387,46.976584,2.156208,2.642679,Regulations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
Evaluation des compétences du 21ème siècle au primaire.,1.629056,3.477159,3.698123,1.707516,4.839088,37.924574,3.251153,0.907142,6.595488,3.531037,2.205008,10.352534,2.329313,6.692172,7.304399,3.556237,Expert Advice Recommentations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
3,2.409913,6.087103,2.731921,3.151299,3.690298,4.974425,1.819495,2.842043,5.905476,2.134146,2.137841,2.791485,2.834445,51.182518,2.322215,2.985376,Regulations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Mini-étude sur l’OAA – Définition des concepts, UNESCO
SenegalL’institut national d'étude et action pour le développement de l'éducation 
(INEADE) et le ministère de l’éducation nationale (2019), 1.",1.977005,8.488055,3.854271,3.076591,4.846733,6.898825,3.262443,2.64531,24.742696,3.556219,2.667484,4.71855,3.286766,15.187337,7.997702,2.794013,Industry Standards,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Présentation du 
système éducatif et du cadre d’évaluation au Sénégal.",2.701539,6.687423,3.849089,3.012069,2.909957,12.115175,7.128584,3.113518,18.138016,3.764302,2.653837,5.015762,4.07241,10.526643,11.638194,2.673482,Industry Standards,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
2,2.181584,7.5881,2.216026,3.212898,6.126296,3.955868,1.635917,2.872684,8.375738,2.728468,2.022268,2.877294,2.431387,46.976584,2.156208,2.642679,Regulations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Mini-étude sur l’OAA 
– Définition des concepts.",1.835133,5.798201,2.959001,6.714705,7.956849,6.059484,1.661888,2.82577,22.309913,2.999258,4.6643,3.904011,4.331337,15.308613,6.861325,3.810212,Industry Standards,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
3,2.409913,6.087103,2.731921,3.151299,3.690298,4.974425,1.819495,2.842043,5.905476,2.134146,2.137841,2.791485,2.834445,51.182518,2.322215,2.985376,Regulations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Le cas du Sénégal : identifier les compétences 
visées, UNESCO
ZambiaBanda Lazarous Yobe Kalirani and Victor Stanslas Mkumba (2018), 1.",2.718877,12.679422,4.904051,2.548033,5.813773,14.112784,4.424713,2.302356,13.470788,4.826455,1.912328,6.591141,2.953713,12.065778,5.535406,3.140381,Expert Advice Recommentations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Structure 
of the Education System.",2.934894,6.439307,4.726966,6.385931,4.485925,5.275927,16.047731,2.603986,12.155822,3.666341,1.607594,10.745844,2.149269,9.594966,7.530869,3.648628,Governance Structure,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
2,2.181584,7.5881,2.216026,3.212898,6.126296,3.955868,1.635917,2.872684,8.375738,2.728468,2.022268,2.877294,2.431387,46.976584,2.156208,2.642679,Regulations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"OAA mini-study – Definition of concepts, UNESCOAppendix H: Country reviews on 
assessment of 21st century skills 
(unpublished)Capturing 21st Century Skills:  Analysis of assessments in selected sub-Saharan African countries56
57
UNESCO Regional Office for West Africa (Sahel), 
Almadies, Route de la plage de Ngor,  
Bp 3311 – Dakar, SénégalCapturing 21st century skills   
Analysis of assessments in selected sub-Saharan African countries
This study conducted by UNESCO Dakar and the Brookings Institution reviews 
existing learning assessment items to understand to what extent national 
education systems value teaching and learning of 21ST Century Skills in 
classroom practices.",2.477741,6.581291,7.199955,3.681804,5.37701,13.987973,2.483254,2.429828,16.863827,3.309864,3.805792,5.451962,2.974963,9.737438,10.656136,2.981164,Industry Standards,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"The authors, in collaboration with national researchers from 
nine-countries in Sub-Saharan Africa (Chad, Côte d’Ivoire, Democratic Republic of 
Congo, The Gambia, Kenya, Lesotho, Mali, Senegal and Zambia), analyze several 
assessment tools and items to suggest potential ways for greater alignment 
between curriculum, teacher training, pedagogy and assessment.",3.377569,10.738455,5.112545,1.814684,5.916909,26.584135,3.691898,2.663468,9.029633,2.612801,2.707785,3.277512,4.323691,8.173026,8.281652,1.694238,Expert Advice Recommentations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"This publication 
is one of the few in the region that looks explicitly at potential ways to bridge 
the gap between traditional education needs and the skills children and young 
people need to thrive in today and tomorrow’s world.",2.604299,17.009215,4.806073,2.597816,4.794313,22.034415,3.684829,2.657093,7.214637,4.293559,1.700658,8.834824,1.682573,6.026296,6.086473,3.972925,Expert Advice Recommentations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
,1.918343,5.040486,1.284546,2.159978,2.398945,2.370204,1.089638,1.503805,5.056038,1.716401,1.018374,2.128097,1.160053,68.405923,1.247266,1.501901,Regulations,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Energy Transition Strategies
Ethiopia’s Low-Carbon 
Development Pathway
AUTHORS
Nikos Tsafos  
Lachlan CareyOCTOBER 2020
A Report of the CSIS Energy Security and Climate Change Program
Energy Transition Strategies
Ethiopia’s Low-Carbon 
Development Pathway
AUTHORS
Nikos Tsafos  
Lachlan CareyOCTOBER 2020
A Report of the CSIS Energy Security and Climate Change ProgramNikos Tsafos & Lachlan Carey  |  IIAbout CSIS 
The Center for Strategic and International Studies (CSIS) is a bipartisan, nonprofit policy 
research organization dedicated to advancing practical ideas to address the world’s greatest 
challenges.",1.95263,8.320463,4.992527,4.745893,8.343042,6.171498,3.443807,4.709818,10.070924,5.544389,2.054002,3.590065,5.967887,9.979618,5.019419,15.094017,Strategies,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"Thomas J. Pritzker was named chairman of the CSIS Board of Trustees in 2015, succeeding 
former U.S. senator Sam Nunn (D-GA).",1.389089,11.556977,1.915403,5.907525,9.968171,4.099352,15.612133,3.332386,10.471296,1.667218,0.656584,5.072009,1.25864,22.882314,2.07366,2.137244,Regulations,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"Founded in 1962, CSIS is led by John J. Hamre, who 
has served as president and chief executive officer since 2000.",1.335883,7.075468,3.36282,5.360584,18.829546,3.091459,13.29683,2.514267,14.627412,2.338445,1.561136,3.102977,2.350815,12.816929,4.158255,4.177174,Discovery Invention,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
CSIS’s purpose is to define the future of national security.,1.354946,3.263562,7.910728,4.363346,6.281961,4.505477,5.365588,1.457122,20.774081,1.960679,1.003982,10.026974,1.335818,16.534756,2.257798,11.603183,Industry Standards,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"We are guided by a distinct set 
of values—nonpartisanship, independent thought, innovative thinking, cross-disciplinary 
scholarship, integrity and professionalism, and talent development.",0.997615,2.456529,1.740196,4.316258,1.471988,10.470403,6.72071,1.048588,3.076979,4.714716,0.383314,51.766398,1.547015,2.113206,2.250023,4.926064,Philosopy Values,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"CSIS’s values work in 
concert toward the goal of making real-world impact.",1.744397,1.85817,4.792699,19.140336,6.410335,5.518049,2.585618,1.324563,11.195862,4.346114,0.742533,15.330107,2.56468,9.064819,5.225917,8.155801,Business Models,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"CSIS scholars bring their policy expertise, judgment, and robust networks to their 
research, analysis, and recommendations.",1.082929,4.062575,5.118497,4.792543,4.993704,18.520735,4.650238,1.496951,21.089981,2.250824,1.19626,8.230893,1.26143,10.560113,6.906392,3.785934,Industry Standards,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"We organize conferences, publish, lecture, and 
make media appearances that aim to increase the knowledge, awareness, and salience of 
policy issues with relevant stakeholders and the interested public.",2.679346,1.941975,3.981782,7.182249,3.449692,26.750034,12.686622,1.641148,10.076241,2.986456,0.907848,4.715946,1.43589,9.787604,3.78583,5.991337,Expert Advice Recommentations,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"CSIS has impact when our research helps to inform the decisionmaking of key 
policymakers and the thinking of key influencers.",1.176194,2.130206,5.848326,6.723147,4.476086,18.12782,4.845438,1.741997,19.234008,1.57098,1.108534,9.180073,1.767657,10.156658,7.08174,4.831136,Industry Standards,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"We work toward a vision of a safer and 
more prosperous world.",0.961748,3.205334,2.940632,5.343675,4.848504,8.705943,2.521534,2.462612,6.126536,15.599028,0.518949,16.109584,3.16256,16.340266,2.247098,8.905997,Regulations,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"CSIS is ranked the number one think tank in the United States as well as the defense and 
national security center of excellence for 2016-2018 by the University of Pennsylvania’s 
“Global Go To Think Tank Index.”",0.901101,5.840308,6.838214,4.353331,5.500241,6.547604,2.176925,1.814669,29.368579,1.480761,0.80841,4.111161,1.510328,23.189472,1.80671,3.752188,Industry Standards,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"CSIS does not take specific policy positions; accordingly, all views expressed herein should 
be understood to be solely those of the author(s).",2.099383,7.477347,3.073783,3.620013,3.626975,10.987141,7.64679,4.974914,18.075586,3.780548,0.890184,9.149055,1.491202,18.268322,2.308434,2.530323,Regulations,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
© 2020 by the Center for Strategic and International Studies.,1.022596,4.383367,2.869441,3.83418,5.590991,10.959418,2.538926,1.186094,20.099696,1.975547,0.952916,4.507958,1.175124,27.404467,2.790689,8.708591,Regulations,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"All rights reserved
Center for Strategic & International Studies
1616 Rhode Island Avenue, NW
Washington, D.C. 20036
202-887-0200 | www.csis.orgEthiopia’s Low-Carbon Development Pathway  |  IIIAcknowledgments
The authors would like to acknowledge the work and insights of the people who wrote 
papers that we commissioned or participated in our workshops.",1.651017,14.263117,4.621553,3.68868,11.454898,8.211267,3.116375,1.711929,12.115113,3.236496,1.460682,4.761273,1.966612,18.094922,5.691814,3.95425,Regulations,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"We would like to 
especially thank the following people who wrote papers: 
Easwaran Narassimhan 
Tufts University
Sied Hassen 
Environment & Climate Research Center, Addis Ababa 
Mulu Geebreyesus 
United Nations University 
Wondimu Abeje 
Addis Ababa University
Stratos Tavoulareas 
Consultant
This report is made possible by generous support from BP.Nikos Tsafos & Lachlan Carey  |  IVContents
Key Findings 1
Backdrop: Ethiopia in Context 3
Success Story #1: Industries Without Smokestacks 7
Success Story #2: Expanding Electricity Infrastructure and Access  10
Success Story #3: Attracting Foreign Capital in the Power Sector 14
Success Story #4: Improving Urban Mobility  18
About the Authors 21Ethiopia’s Low-Carbon Development Pathway  |  1Key Findings
Ethiopia is an outlier in terms of energy and climate.",1.499669,10.58597,3.218628,3.289553,10.58036,9.400389,2.192585,2.879635,23.331918,2.785928,1.897429,4.924773,3.094677,14.47743,3.314334,2.526723,Industry Standards,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"Since 2000, the country’s economy 
has expanded by a factor of five, yet the country’s carbon dioxide (CO2) emissions 
are trivial: in 2017, on a per capita basis, CO2 emissions from energy were the fourth-
lowest in the world.",1.248172,3.988204,1.905995,8.069295,10.048,18.107102,1.466316,7.083002,7.032514,8.014353,1.106274,5.995175,6.138482,14.633457,1.097914,4.065746,Expert Advice Recommentations,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"It is not that Ethiopians do not consume much energy, although 
their consumption is below the global average; rather, the country relies so much on 
hydroelectricity that its carbon intensity (how much CO2 is emitted for each unit of 
energy used) is the second-lowest globally.1 Somewhat audaciously, Ethiopia aims to 
keep it this way.",2.434493,7.141758,1.416346,4.419647,6.733408,10.939627,2.031407,19.06573,7.296895,8.496192,1.423494,6.216942,10.283202,8.086628,0.994826,3.019407,Health Regimes,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"The country’s strategy for economic growth and for dealing with climate change 
are one and the same, articulated in an ambitious plan called the Climate Resilient 
Green Economy (CRGE) strategy, first promulgated in 2011.",0.982023,4.682499,4.343753,5.179924,5.302571,4.909739,1.646533,3.619501,4.433982,3.762272,1.297434,5.832524,4.290651,8.591744,3.169905,37.954946,Strategies,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"The headline promise 
is eye-catching: the country intends to grow without any increase in its greenhouse 
gas (GHG) emissions between 2010 and 2030.",0.959571,5.614795,2.885931,5.226614,6.488221,12.886704,1.540054,7.503607,12.58541,4.728667,0.881942,6.838235,4.53456,18.08226,1.432805,7.810626,Regulations,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"Whether the country can accomplish 
this will hinge largely on what happens in agriculture and forestry—forestry, in 
particular, plays a crucial role, acting as a sink that offsets whatever emissions come 
from economic growth.",2.583733,3.457342,1.635845,12.964577,3.368731,13.76142,3.799319,5.727503,4.735452,4.745907,1.02444,12.844788,9.397832,9.367054,2.312453,8.273604,Expert Advice Recommentations,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"But that offset strategy should not subtract from its serious 
commitment to low-carbon development.",0.985262,1.735284,1.648811,4.351322,2.722737,14.880823,1.115811,5.58374,5.733174,7.015437,0.688356,6.899662,8.618591,4.317946,1.753925,31.949118,Strategies,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
There are few countries in the world that rely so little on fossil fuels.,1.066216,5.381864,1.882286,5.747463,8.254671,14.375125,0.94592,9.036926,4.542246,24.440393,1.08298,4.721221,4.448839,9.443426,0.926539,3.703884,Lifestyle,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"Ethiopia is still a 
predominantly rural and agricultural country, but even among its peers, its negligible use 
of fossil fuels stands out.",1.683767,7.328446,2.145991,4.763346,3.590419,15.351668,1.757198,13.814075,9.575528,12.559176,1.496798,5.042153,11.114403,6.139193,1.009196,2.628644,Expert Advice Recommentations,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"What is even more unusual is the refusal to turn to fossil fuels 
as its economy rapidly grows.",1.228218,10.798351,1.482522,5.976719,16.040362,6.422895,0.837884,10.364309,3.859572,14.637915,1.211613,6.254528,5.456862,6.064499,1.407086,7.956664,Discovery Invention,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"There is no coal or natural gas power plant proposed in the 
country.",4.816585,9.064837,4.830792,4.511114,7.116773,13.022735,3.088941,6.801583,14.339212,3.029136,3.103803,4.056089,6.448588,9.070309,2.035097,4.664404,Industry Standards,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"There is no decarbonization target because there is so little carbon in the power 
sector to begin with.",2.452584,5.624099,2.779433,5.854098,15.804906,5.411851,4.130155,7.389031,11.160704,5.281537,1.080124,7.818203,6.084227,11.156194,1.448808,6.524046,Discovery Invention,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
"Instead, Ethiopia plans to keep building dams to generate and export 
low-carbon electricity, and it keeps pushing for reforms that will help attract foreign 
investment in wind, solar, and geothermal energy.",3.6118,3.821372,2.934795,5.041492,6.83989,9.140295,3.056164,5.982733,8.387195,3.73713,1.315573,7.206814,16.620998,5.877732,1.454668,14.971349,Production Method,201030_Tsafos_Carey_Energy_Transition_Strategies_Ethiopia_Low_Carbon_Development_Pathway.pdf
