Sentence,Accommodation Food Services,Agriculture Forestry Fishing,Arts Entertainment Recreation,Economywide,Educational Services,Health Care Social Assistance,Information Finance Insurance,Manufacturing,Mining Quarrying Oil Gas,Public Administration,Real Estate Rental Leasing,Technical Management Services,Transportation Warehousing,Utilities Construction,WholeSale Retail Trade,Category_Tag,Filename
"The research and production of this publication 
were made possible through funding support from 
the Global Partnership for Education.",3.022012,10.829974,2.350764,12.445438,24.790821,7.08992,7.465408,3.621753,7.962118,2.830926,1.593318,9.203949,1.853677,3.187553,1.75237,Educational Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"AcknowledgementsCapturing 21st Century Skills:  Analysis of assessments in selected sub-Saharan African countries4
Contents
Foreword  ............................................................................................................................................ 1 
Acknowledgements  ......................................................................................................................... 3
Acronyms  ........................................................................................................................................... 6
List of tables and figures  ................................................................................................................. 7   
Executive summary  ................................................................................................................................................ 8 
 Learnings from the study  ............................................................................................................................................ 9 
1.",4.93584,12.582844,5.787476,13.326409,6.362199,11.22065,4.822803,6.404258,12.41289,3.159807,2.176753,6.350462,3.426197,3.650202,3.38121,Economywide,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Background  ........................................................................................................................................................... 10 
2.",6.098042,12.954859,8.462242,19.054787,2.566589,9.2793,4.926847,5.436753,9.237451,2.244708,3.162104,3.841018,4.16213,5.079817,3.493352,Economywide,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"The study  ................................................................................................................................................................. 12 
 Research questions  ....................................................................................................................................................... 12 
 Assessment culture  ....................................................................................................................................................... 14 
 Including 21st century skills  ...................................................................................................................................... 14 
 Method  .............................................................................................................................................................................. 17 
3.",4.510395,12.9371,7.717491,15.079759,5.383045,8.511092,5.139979,6.476815,12.140081,2.755848,2.559632,5.767362,3.805882,4.008248,3.207271,Economywide,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Findings and discussion  .................................................................................................................... 21 
 Classification of items  .................................................................................................................................................. 21 
 Characteristics of collected tools and items  ........................................................................................................ 24 
 Primary purpose ............................................................................................................................................................. 24 
 Tool format  ....................................................................................................................................................................... 24 
 Scoring and reporting mechanisms  ....................................................................................................................... 24 
 Specific 21st century skills and subskills captured by tools  ............................................................................ 24 
 Skills at the construct level  ......................................................................................................................................... 25 
 Sub-skills  ........................................................................................................................................................................... 25 
 Opportunities for assessment of 21st century skills in current tools  ........................................................... 26 
 Factors influencing implementation of 21CS  ...................................................................................................... 28 
 Policy intervention recommendations  .................................................................................................................. 30 
4.",4.463692,12.623221,6.196858,8.936727,3.014062,5.694394,3.800848,10.69362,19.980707,2.305173,2.097596,4.967379,5.624297,5.013109,4.588316,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Focus on Senegal, The Gambia, and Chad  ............................................................................................. 31 
 The case of Senegal – Cheikhena Lam  ................................................................................................................... 31 
 The case of The Gambia – Momodou Jeng and Ousmane Senghor  ........................................................... 31 
 The case of Chad – Oumar Ali Moustapha  ........................................................................................................... 33 5
5.",5.038071,16.100754,6.060165,14.817414,2.649343,12.999567,4.750096,5.618203,12.197606,2.550503,2.677753,4.916145,3.508376,3.032039,3.083965,Agriculture Forestry Fishing,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Next Steps  .............................................................................................................................................................. 34 
References  ................................................................................................................................................................... 35 
Appendix A: Study timeline and activities  .................................................................................................. 36 
Appendix B: Study participants ........................................................................................................................ 37 
Appendix C: Background information  .......................................................................................................... 38 
Côte d’Ivoire: Ministry of National Education, Technical Education and Vocational Training  ................. 38 
Democratic Republic of Congo (DRC): Ministry of Primary, Secondary and Vocational Education  ......39 
The Gambia: Ministry of Basic and Secondary Education  .................................................................................... 40 
Kenya: Ministry of Education, Science and Technology  ........................................................................................ 41 
Lesotho: Ministry of Education and Training  ............................................................................................................. 42 
Mali: Ministry of National Education  ............................................................................................................................ 43 
Senegal: Ministry of National Education  ..................................................................................................................... 44 
Chad: Ministry of National Education and Civic Promotion  ................................................................................ 47 
Republic of Zambia: Ministry of General Education  ............................................................................................... 48 
Appendix D: Sources of data  .............................................................................................................................. 49 
Appendix E: Brief definitions of skills  ............................................................................................................ 52 
Appendix F: Examples of tool formats  .......................................................................................................... 53 
Appendix G: Draft list of 21st century skills developed by participating countries  ........................ 54
Appendix H: Country reviews on assessment of 21st century skills (unpublished)  ...................... 55Capturing 21st Century Skills:  Analysis of assessments in selected sub-Saharan African countries6
Acronyms
21CS     21st century skills 
BEF     Brevet d’Etude Fondamentale 
CEPE     Certificate of Primary Elementary Studies 
CFEE     Certificate of Completion of Elementary Studies 
DRC     Democratic Republic of Congo 
EGRA    Early Grade Reading Assessment 
ERI-NET    Education Research Institutes Network 
FCAC    Fragile and Conflict-Affected Country 
GPE     Global Partnership in Education 
KCPE     Kenya Certificate of Primary Education 
MENPC    Ministère de l’Education Nationale et de la Promotion Civique 
MoBSE    Ministry of Basic and Secondary Education 
NEQMAP   Network on Education Quality Monitoring in the Asia-Pacific 
OAA     Optimizing Assessment for All 
OECD    Organisation for Economic Co-operation and Development 
PISA     Programme for International Student Assessment 
SEA-PLM  Southeast Asia Primary Learning Metrics 
SNERS    National System for the Evaluation of Educational Achievement 
TALENT    Teaching and Learning Educators’ Network for Transformation
UNESCO   United Nations Educational, Scientific and Cultural Organization 7
List of tables and figures
Table 1.",4.137266,12.265887,4.558515,17.240759,6.517472,10.469388,4.20198,5.727772,11.608748,4.306753,2.480694,6.714683,3.132266,3.78584,2.851978,Economywide,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Inclusion of 21st century skills in Countries’ Education Policies 15 
Table 2a.",2.800729,5.551133,2.059643,6.906468,47.774783,3.914083,3.224186,3.165639,5.095644,5.989471,1.102491,6.27777,1.975406,2.050675,2.111879,Educational Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Tool classification options 19 
Table 2b.",5.520889,20.78898,4.224918,6.821027,5.241598,5.944087,5.196701,5.897251,10.858198,2.849528,2.01624,11.433238,4.140685,4.603851,4.46281,Agriculture Forestry Fishing,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Distribution of tools across countries and categories  20
Table 3.",5.93215,12.005343,3.170337,6.469318,3.670075,5.612376,5.756009,8.528201,15.696359,2.839138,1.754478,10.649302,5.3112,4.3488,8.256913,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Description of sub-skills associated with 21st century skills constructs 26 
Table 4.",3.933257,10.661004,4.774603,7.401177,4.701227,7.871748,5.741583,11.034366,9.961096,2.034509,1.90614,11.723227,7.787758,3.359824,7.108481,Technical Management Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Items identified by Senegal as potentially reflecting 21st century skills 27 
Table 5.",5.601181,13.6108,7.698503,7.407653,4.601499,8.844091,3.898231,9.562162,15.540644,2.574894,1.600326,7.855177,4.178221,2.867462,4.159155,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Items identified by Senegal as not reflecting 21st century skills 27 
Table 6.",4.814794,14.697605,7.045561,6.826068,3.906583,8.791028,3.223568,10.185211,19.069397,2.381721,1.589264,6.37256,3.790946,3.592402,3.713294,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Items identified by The Gambia as potentially reflecting 21st century skills 28
Figure 1.",4.622363,13.963839,7.693405,10.402163,4.133632,11.360132,4.478131,8.69836,13.229968,2.479846,2.046024,6.492406,4.053669,2.814147,3.531915,Agriculture Forestry Fishing,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Proportion of tools by country across categories 21 
Figure 2.",5.483095,15.739588,4.151464,9.008244,2.418974,5.81931,3.722976,7.808992,23.034865,2.247923,2.011772,4.480396,4.194661,5.079146,4.798594,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Tools distributed across subject areas 22 
Figure 3.",5.174607,14.505625,6.775421,7.600833,6.18927,11.678814,6.358113,3.899515,10.924475,3.537829,2.239048,8.096385,3.743394,4.595788,4.680883,Agriculture Forestry Fishing,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Abstract reasoning item from Zambia 22 
Figure 4.",4.960048,14.961731,5.130681,14.016545,4.280505,11.07714,5.23784,5.534957,12.715326,2.603975,2.936711,5.032671,4.254806,3.754963,3.502102,Agriculture Forestry Fishing,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Item from Kenya that primarily captures numeracy skills 23 
Figure 5.",4.739381,15.523677,6.406404,11.461137,6.741202,12.889534,5.427828,4.959728,10.799909,2.640919,2.134732,6.096468,4.053085,3.195592,2.930405,Agriculture Forestry Fishing,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Item from Mali that indirectly captures 21st century skills 23 
Figure 6.",3.983556,11.646641,7.844348,10.740279,3.698368,19.740038,4.979387,6.769025,9.578316,2.769139,2.132053,6.909432,3.658314,2.557342,2.993763,Health Care Social Assistance,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Item from Senegal targeting primarily domain-specific knowledge 23 
Figure 7.",5.518244,15.692943,4.422912,11.12599,3.091828,10.485446,9.309823,4.47111,13.735915,2.956033,2.545911,5.900091,3.461746,2.479404,4.802603,Agriculture Forestry Fishing,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Item from Lesotho targeting domain-specific knowledge relating to self-management 24
Figure 8.",4.138773,9.030687,3.214195,8.106493,3.744302,11.33695,13.420293,4.349206,9.643363,6.144912,2.645932,11.825464,4.078719,2.631144,5.689568,Information Finance Insurance,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"21st century skills that are indirectly assessed by the tools 25 Capturing 21st Century Skills:  Analysis of assessments in selected sub-Saharan African countries8
In this publication, examples of classroom and 
national assessment tools used in nine sub-
Saharan African countries are explored to identify 
if  “21st century skills“1 such as collaboration, 
communication, problem solving and critical 
thinking are demonstrated.",3.811921,7.843303,4.564036,4.594853,31.85755,7.369913,3.618035,6.156443,9.369257,2.562619,1.346136,7.93076,2.803314,3.203574,2.968285,Educational Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"The focus is on those 
skills that appear to be teachable and learnable in 
the formal education sector and prepare students 
for lifelong learning.",1.265546,3.091277,1.920991,2.343871,77.217528,1.323004,2.223532,1.157038,1.629804,1.253482,0.692486,2.709344,0.941407,1.075726,1.154964,Educational Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"For this study, participants from Chad, Côte de 
d’Ivoire, Democratic Republic of Congo (DRC), 
The Gambia, Kenya, Lesotho, Mali, Senegal and 
Zambia collected assessment tools from their 
national and classroom assessment resources  from 
August to December 2018 (Appendix A).",4.644359,11.990362,3.832116,9.388034,14.985946,11.591349,4.640716,4.060894,11.811631,3.57182,2.281191,7.954073,2.430546,4.159495,2.657469,Educational Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Their 
collection goal was to identify tools across Grades 
3-8 that had the capacity to assess 21st century 
skills.",4.042815,11.811138,5.211305,5.398958,11.143413,5.143568,5.688726,7.396622,15.719031,2.584771,1.815841,9.788927,4.660672,4.410479,5.183736,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"In general, findings indicate that, of the 
tools collected, a majority did not directly assess 
these skills, but some were identified as clearly 
having the potential to do so.",3.830066,12.17726,4.872631,6.689066,4.495178,6.735854,4.536612,7.238652,27.127999,1.764611,2.283081,6.446813,3.396346,4.976298,3.429533,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Issues highlighted 
by the study concern the limited test formats that 
are used for assessment generally, and lack of 
attention to more complex approaches to scoring 
and evaluation.",4.979733,10.060572,4.88945,11.148357,11.206325,6.980718,5.926349,5.940375,15.056911,2.534905,2.495545,6.675392,3.956851,4.295434,3.853081,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"These issues are common to many 
countries and may be attributed to low levels of 
assessment literacy among educators—typically, 
assessment is not a major part of pre-service 
teacher education courses in many countries, nor is 
it an expertise among middle-level administrators 
or policymakers.",4.322483,5.314597,2.815726,5.351757,51.966333,3.763388,3.259203,2.210545,5.44888,3.354988,1.614238,4.449201,1.56432,2.526517,2.037824,Educational Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Expertise tends to be confined 
to specialist assessment units.",3.678558,9.945597,3.694869,4.149848,8.305993,10.262128,7.750234,5.355256,14.708145,3.116102,2.348593,13.534123,3.582888,6.086211,3.481453,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Easily scored tests 
that target knowledge constitute the majority of 
assessment tools, with the results contributing 
primarily to summative reporting of knowledge-
based achievement.",4.516737,9.253483,3.270248,10.343901,14.012347,5.471704,8.685495,6.09028,9.479743,2.383171,1.531351,12.625045,3.714847,3.949035,4.672614,Educational Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"An encouraging outcome of the study was 
that country participants saw the potential of adapting some tools to assess 21st century skills, 
which demonstrates that knowledge about the 
nature of these skills can prepare educators to 
better understand and address assessment needs 
concomitant with the introduction of 21st century 
skills into learning goals.",3.316233,6.877271,3.242473,6.733061,43.053848,5.206261,2.797663,3.940368,6.289909,2.359228,1.310389,6.746572,2.362384,3.106883,2.657456,Educational Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"The guidelines for data 
collection stipulated that the country researchers 
collect examples of assessment tools that directly 
or indirectly capture 21st century skills – in fact, 
there were no tools that directly captured the 
skills (i.e., no tools were deliberately designed for 
the purposes of assessing 21st century skills).",3.69859,16.048359,4.803633,5.587716,9.420155,6.564321,3.997288,6.349732,21.046299,2.922123,1.835941,7.369977,2.661192,4.957699,2.736974,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"The 
participants identified a range of tools that sampled 
student achievement in subject studies.",4.206414,6.842947,5.77622,5.445924,32.699835,5.39425,3.054996,4.202736,10.066778,2.279001,2.006226,8.929329,2.435036,3.705546,2.954761,Educational Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"In some of 
these, they identified clear potential for the tools to 
be used in a modified form for sampling 21st century 
skills proficiencies.",4.257677,10.307777,5.832842,7.791357,7.950833,5.262512,4.857601,12.065217,14.742509,1.725358,2.014501,9.17921,4.648135,4.265964,5.098506,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"This potential existed primarily 
in the content of the test items themselves, rather 
than in their scoring or reporting accessories.",4.499824,7.847526,6.172353,6.607769,5.815562,4.600151,8.188539,9.270644,20.175239,1.507551,2.079391,6.373546,4.776949,4.396833,7.688124,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"From policy documentation provided by the 
country participants, in association with their 
collection of assessment tools, several factors were 
identified that appear to impact on the early stages 
of implementation of 21st century skills learning 
goals as symptomatized through assessment 
and teaching; these factors are similar to those 
identified in previous studies (Care & Luo, 2016).",4.446672,5.923455,2.847447,10.53777,29.553124,8.100957,4.510397,3.371114,5.762753,4.601917,1.630584,10.799021,2.12208,2.824087,2.968623,Educational Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"They include lack of understanding of the nature 
of the actual learning and teaching that is implied 
by the learning goals; existing learning goals 
around which education systems are currently 
structured; lack of assessment, teaching resources 
and professional development, and a mis-alignment 
of goals with the current curriculum, assessment 
and teaching approaches.",3.681163,8.567904,4.336729,7.306038,36.652958,4.950893,3.346388,2.726619,7.870785,2.990926,2.210144,6.578262,2.14884,3.626501,3.005849,Educational Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"These issues are explored 
through brief discussion of the education context 
in three of the participating countries; Senegal, The 
Gambia, and Chad, and how the learnings from the 
study are informing strategy.",4.477696,10.384826,3.501999,9.79508,29.605361,6.532334,4.325133,3.763234,10.989416,2.410089,1.810601,5.214724,2.291317,2.161757,2.736433,Educational Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Executive summary
1.",4.38401,9.245477,3.830316,17.028651,3.780267,18.428926,5.704933,4.43349,6.238386,5.04268,2.57216,7.733222,4.374767,3.541073,3.661643,Health Care Social Assistance,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Other terminologies have been used to refer to 21st century skills, such 
as life skills, social emotional skills, transferable skills, soft skills,etc.9
This is the first study to identify baseline 
information about the existence of  21st century 
skill assessments in Africa.",3.237261,7.453779,4.494126,5.017029,14.052227,9.095216,7.443375,7.190171,11.046066,2.31347,1.457876,16.758004,3.321332,3.428219,3.691848,Technical Management Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"The research, analyses 
and engagement undertaken by the participants 
has provided a new perspective on how we can 
undertake assessment of these skills.",3.471626,8.71619,6.384022,6.621769,14.790443,9.671712,5.32196,4.137216,8.345545,2.765916,2.574349,17.080424,3.129124,3.164288,3.825415,Technical Management Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Rather than 
assuming that such assessment requires radically 
different strategies, this study demonstrated how 
to use the known to advance into unchartered 
territories.",5.502563,8.914097,2.30687,12.27205,8.529479,7.050692,5.536774,4.510426,27.014536,1.989235,2.084341,4.008465,3.513678,3.007728,3.759064,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Changing assessments to align with new 
learning goals does not mean abandoning what 
already exists.",4.588812,11.635419,4.518265,12.948635,25.556163,5.480742,3.710736,5.020706,6.017716,2.434499,2.422309,6.481808,2.05112,3.253518,3.879555,Educational Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"It can instead be achieved through 
adaptivity, creativeness and flexibility.",6.331381,10.813881,17.886583,6.025664,3.384875,3.684416,3.257655,11.424292,11.409335,1.352455,2.493155,6.689094,5.595064,3.780896,5.871254,Arts Entertainment Recreation,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Teachers 
must also develop and demonstrate these skills in 
order to increase student’s skills development to a 
greater degree.",2.198043,7.198775,5.600386,4.554713,46.999057,2.494287,2.246026,2.895122,4.494491,2.469816,2.04958,10.404324,1.793043,2.400743,2.201593,Educational Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Learnings from the study
The study highlights several issues which reflect 
challenges faced in the assessment of 21st century 
skills.",3.502268,7.255209,5.730804,6.737276,23.800207,6.284522,4.073835,5.425581,10.757069,2.495714,1.76153,11.223799,2.90102,4.966713,3.084452,Educational Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
1.,4.082766,9.807219,3.58097,8.537304,2.733326,38.251986,4.357037,3.81913,6.618027,2.477359,2.453744,3.025973,4.550162,2.943785,2.761212,Health Care Social Assistance,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Test formats that are easy to score are used 
most frequently.",5.939946,9.87183,6.354529,14.627025,10.429546,7.4038,8.645006,5.378594,8.637993,1.904185,2.465479,5.688465,4.201539,4.367011,4.085051,Economywide,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"More than half of the tools 
provided were scored dichotomously (i.e., 
correct-incorrect).",4.425621,14.574488,4.183174,10.279861,4.072588,10.223517,5.388544,7.222521,16.804099,2.000251,2.323808,5.528252,4.418545,4.785094,3.769639,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"While common across many 
assessment programs due to the efficiency and 
objectivity of this type of scoring, dichotomous 
scoring limits the variety of responses that can 
be elicited and disregards a large amount of 
information.",6.540922,14.339067,5.439926,6.192544,8.327453,5.871864,6.741359,5.778023,13.94995,3.233553,2.086507,6.626396,4.012933,5.140415,5.719089,Agriculture Forestry Fishing,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"In particular, such formats restrict 
the capacity to assess levels of competency in 
the exercise of 21st century skills.",4.645067,7.370575,10.679686,6.764286,5.729732,4.721181,7.161095,13.339956,14.146576,1.884491,1.596149,5.553449,6.15116,4.086888,6.169709,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"This is a major 
challenge that has been discussed by the 
authors in an earlier publication (see Care, Kim 
et al.,",4.227094,8.149902,3.881771,11.448967,4.08847,21.472173,6.520576,4.783731,12.792451,3.262052,2.731002,6.407739,3.542268,3.146832,3.544971,Health Care Social Assistance,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
2019).,4.323354,9.647743,3.93281,16.49893,4.751872,20.224149,6.745878,5.122082,6.133281,3.18717,2.089633,6.031561,3.821851,2.910544,4.579142,Health Care Social Assistance,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
2.,4.312913,9.722184,4.17842,9.796577,2.500827,34.83294,4.542824,3.759668,7.64395,2.350968,2.981206,3.30514,4.245618,3.122224,2.70454,Health Care Social Assistance,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"There is a lack of rubric development and 
use.",3.164874,21.820781,4.010082,7.054725,3.172954,6.476744,3.021958,4.26004,27.244853,1.31187,2.222052,4.316854,4.055637,4.850086,3.016488,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"The summary results show that where 
country-provided tools are designed to capture 
more detail, we most commonly find open 
format items that are scored using rating scales.",9.256703,10.7363,4.868418,16.483123,6.185705,5.533768,8.587619,3.698892,12.41693,2.047825,2.347316,5.230296,3.292475,4.357978,4.956652,Economywide,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Although rating scales can enable more than 
a correct-incorrect classification of student 
responses, subjectivity of ratings can impact 
the reliability of information.",9.60383,10.513218,4.640838,10.063288,12.032941,5.055488,7.417931,5.122568,8.125849,2.262345,3.344329,7.822003,3.147072,5.162312,5.685988,Educational Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Depending on 
the nature of the rating scales, they may not 
guarantee substantial improvement over 
dichotomous scores.",6.567284,12.489516,4.834961,22.248849,3.829868,5.899654,5.541817,4.645971,11.543314,2.12782,3.436911,4.848852,2.257543,5.199748,4.527893,Economywide,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Where open-ended tools 
were collected, rubrics for the scoring of these 
were not made available – it is unclear whether 
these exist.",3.96139,18.172793,5.95825,7.316441,5.455663,5.427784,4.845529,5.268996,21.940712,1.6394,2.577604,4.967334,3.633299,5.344263,3.490541,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"For capture of complex cognitive 
and social processes well-defined rubrics are 
essential.",6.420344,11.96517,7.764601,6.18933,6.534933,10.578694,6.027053,4.351441,15.694696,3.790954,1.644801,6.34956,5.112981,4.022897,3.552545,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
3.,4.208675,10.974483,3.776124,8.686959,2.668136,32.77127,4.956332,4.162935,7.570903,2.155864,3.135045,3.75745,4.915123,3.158122,3.102579,Health Care Social Assistance,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"There is potential for many of the tools that 
were not originally designed to capture 21st 
century skills to be expanded.",3.37865,12.167088,8.851245,8.45429,5.529948,5.67983,4.140545,10.71998,17.876508,1.59828,1.904265,7.142971,3.86826,4.950531,3.737609,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"A majority 
of provided tools were designed to measure 
knowledge of the core domains in which 
21st century skills might be embedded, 
rather than 21st century skills themselves.",3.879617,11.707693,6.363232,6.664828,7.710073,6.22395,8.028437,8.034326,13.731058,2.339953,1.832237,9.806489,4.843263,4.306557,4.528285,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"The 
good news is the potential of the tools for 
expansion.",3.12562,6.257447,2.93328,43.167732,2.348396,4.860206,7.500287,3.234825,7.417878,1.693697,2.594393,4.845187,2.926463,3.250283,3.844304,Economywide,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"For example, closed items which 
are scored dichotomously can be converted 
into an open format that is more flexible in 
terms of responses that can be elicited.",6.068134,10.451544,6.394148,11.976483,6.918041,5.759733,10.824732,4.393284,11.094338,2.101457,2.609117,6.129114,4.762775,4.357928,6.15917,Economywide,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Also, 
items that were identified as capturing only 
a single skill were found to have potential to 
tap into multiple skills during the verification 
process.",3.25214,14.141317,5.495148,6.377594,4.798604,4.763201,4.274974,11.427026,24.088023,1.447404,1.862086,6.696124,4.01592,3.618135,3.742304,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"However, in order to take advantage 
of such opportunities, capacity development 
in assessment (at both national and classroom 
levels) needs to take place.",5.945427,11.491099,3.586514,9.077333,22.082366,4.111105,3.634251,4.068955,12.742637,3.928744,2.330487,7.046526,2.496504,4.093855,3.364197,Educational Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Capturing 21st Century Skills:  Analysis of assessments in selected sub-Saharan African countries10
1.",5.134779,10.993519,7.48458,5.788439,11.43859,8.770403,4.120977,6.848433,14.167545,2.826882,1.808033,11.055194,3.292453,2.776187,3.493985,Mining Quarrying Oil Gas,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Background
Young children and students need a range of skills 
and competencies, beyond literacy and numeracy, 
to succeed in the 21st century (Care & Anderson, 
2016).",3.234061,5.623251,5.760849,4.744791,39.049923,7.796235,5.015629,3.784903,5.571598,2.733826,1.267727,5.902187,3.618147,2.505733,3.391138,Educational Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Education systems globally acknowledge the 
importance of a breadth of skills (Care, Anderson, 
& Kim, 2016).",2.402624,4.847265,3.031332,4.033536,48.340296,5.370183,5.68526,2.172521,3.747214,3.807988,1.24118,7.723852,2.346497,2.449823,2.800429,Educational Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Yet, what are considered to be skills 
varies widely, not only from country to country (Care 
et al.,",5.855403,12.357686,7.449317,5.976358,7.603228,11.844548,5.907542,6.400487,11.003099,2.658889,2.289571,11.635973,2.937166,2.586987,3.493743,Agriculture Forestry Fishing,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"2016), but also across the range of education 
stakeholders within countries (Care, Kim, Anderson, 
& Gustafsson-Wright, 2017).",3.901159,4.747342,2.134059,9.711664,36.51038,8.115454,6.465533,2.146736,5.858928,5.310241,1.282744,6.021507,1.843667,2.711756,3.23883,Educational Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Collaboration, critical 
thinking, social and interpersonal skills are often 
included.",5.645257,8.696893,6.922725,4.146706,9.832969,9.345132,7.303897,5.067464,8.436347,3.517073,3.072542,16.538309,3.826567,4.237151,3.410968,Technical Management Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"Character traits, such as confidence 
and self-discipline, and workforce and societal 
characteristics, such as being a productive member 
of society and being «moral” are sometimes included.",7.12964,8.02973,7.384679,7.364383,4.788479,7.560317,5.300845,5.936726,9.400577,5.520075,2.732687,12.962836,2.677197,6.399292,6.812539,Technical Management Services,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
"(Care et al.,",4.406906,7.54485,3.344644,4.845212,4.351633,43.015868,5.238424,3.740331,5.363267,2.436369,2.400107,5.999443,2.990527,1.85418,2.468238,Health Care Social Assistance,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
2017).,3.810841,11.639987,3.185981,18.07764,4.153972,20.113454,5.150542,3.231046,7.466709,4.184836,2.461422,5.198284,3.749293,3.677078,3.898915,Health Care Social Assistance,UNESCO-Kim-Care_Africa-ministudy-2020.pdf
