Sentence,Accountants,Artists,Books and Literature,Business Owners,Charitable Trusts and NGOs,Consumer Services,Counselors,Doctors,Estate Agents,Family Offices,Financial Advisors,Franchise Operations,Goods Suppliers,Governments,Hospitals,Independent Consultants,Individuals,Intergovernmental and Regulators,International Institutions,Lawyers,Manufacturers,Multi Nationals,Municipalities and Cities,Online Re-Sellers,Organizations,Parents,Philanthropies and Foundations,Politicians,Private Corporations,Professionals,Public Companies,Regional Governments,Restaurants,Retail Shops,Seniors,Service Vendors,Singles,Sports Persons,Students,Universities,Category_Tag,Filename
"This not only improves the likelihood that 
the project will succeed, but also helps foster 
neighborhood trust and cohesion, and builds 
social capital that can be applied to future 
efforts.",0.641177,0.919296,0.79413,1.017395,20.406351,4.255215,0.987312,0.253195,2.351249,0.983113,2.851782,1.48119,0.443806,2.622487,0.646313,1.405263,1.133323,2.193601,0.650976,0.652621,0.674764,0.45629,7.057858,1.339246,5.707551,0.779883,18.003661,2.960486,0.717195,1.302482,0.385323,3.299051,0.604633,0.440616,1.11666,1.425907,1.142539,0.402717,4.955156,0.538182,Charitable Trusts and NGOs,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
4.,1.420657,7.899947,35.505766,0.859732,0.85969,1.973181,5.668894,0.842405,0.776761,0.758568,1.486437,6.53671,1.691523,0.629653,0.680619,0.825218,1.579646,0.943405,0.90168,0.824498,9.713766,1.267772,0.521338,1.041352,1.312708,0.58436,0.558521,0.645005,0.294833,1.702839,1.522378,0.44355,0.88158,0.941789,0.754384,1.885561,0.887681,1.089786,0.935626,0.350181,Books and Literature,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"Simplify (and spread) the message
Parents of young children are often 
overwhelmed with work and child care 
responsibilities, and do not often have the 
time to engage with, or may even be put off 
by, long or seemingly unrelatable materials or 
messages.",1.150359,3.101164,6.900747,1.171104,1.792838,6.666452,9.098692,0.802036,0.633417,2.822046,2.197955,2.353646,1.576039,2.119915,1.529505,1.67069,3.125454,1.010491,0.973884,1.229848,4.106212,0.465452,2.389465,1.21191,2.36832,16.792813,1.582083,2.178298,0.719157,2.417559,2.240969,1.216491,0.901554,0.867957,2.248229,2.359996,1.36197,0.65623,1.363186,0.625869,Parents,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"Several interviewees noted that to 
reach busy families, information needs to be 
shared in the most clear and concise way, in 
various formats and venues.",1.286077,2.8499,2.906661,0.714295,2.305106,11.123636,4.844794,0.737899,0.837938,6.95563,2.066353,3.046217,2.034345,1.506731,2.043848,1.654271,2.699633,1.981601,0.921302,1.571517,3.841822,0.725568,2.282122,5.111208,3.392165,5.050368,1.238259,1.985409,0.734725,2.184468,2.316951,0.814329,2.006428,2.063937,4.233544,3.426066,1.935864,0.62278,1.327932,0.6183,Consumer Services,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"The simple mantra of Talk, Read, and Sing, 
highlighted earlier as part of Michigan’s 
Great Start initiative, has been successful 
because the core message connects with 
families, early childhood professionals, and 
community leaders.",0.678425,4.159078,8.421849,1.204524,3.011629,9.247053,13.0891,0.721472,0.622111,1.391698,1.921073,2.143554,0.491336,1.757289,1.014345,0.788395,8.74457,0.94315,0.672587,0.9356,2.414963,0.374162,3.128186,0.678223,3.290621,3.096422,2.497456,3.165045,0.362507,1.99424,1.008645,1.461626,0.993888,0.601,2.532974,1.225203,2.993805,0.945765,4.438121,0.838312,Counselors,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"An interviewee from 
Detroit recalls: “There was no negative 
feedback, no kickback, no bounceback, no 
critique...A parent would say, ‘I didn’t know 
this was important.",1.433929,2.942001,12.264431,1.12089,1.067185,10.443373,8.965057,1.189976,0.50094,1.117953,2.297699,3.827232,0.808426,0.564489,0.888836,1.28669,10.937832,1.348978,0.769736,1.133519,4.216691,0.727259,0.872178,1.057005,1.542653,6.115265,0.86377,1.757257,0.537324,2.371348,2.042886,0.608302,1.228636,0.472013,3.453861,1.79554,1.037308,2.207624,1.370455,0.813455,Books and Literature,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"I can do this and I will 
do this.’",1.45575,12.838135,8.97772,2.042189,0.777,3.029057,7.072341,1.105316,1.084203,0.544235,1.598826,4.595124,1.170094,1.452786,0.871244,1.993614,5.318569,1.242878,0.905848,1.228177,6.866569,0.755605,1.018259,1.42405,0.798043,1.561737,0.487183,2.936892,0.443388,6.785835,1.730165,0.773009,1.442903,0.669679,2.41074,2.138161,1.503972,4.314073,1.985256,0.651375,Artists,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"And so we have just literally locked 
onto the Talking is Teaching initiative and 
expanded it in 20 different ways because 
it works.”",0.570033,1.742857,2.1117,1.592056,2.049316,44.956201,2.183329,0.35316,0.595348,0.608068,1.367792,1.666854,0.580857,2.554727,1.102088,1.342543,2.33923,1.394202,1.174946,0.76092,1.543498,0.557014,2.064357,0.795093,3.579388,1.562157,1.638116,0.993625,0.572136,2.294793,1.476721,0.946143,0.449102,1.030718,1.622426,2.034375,0.913245,0.612637,3.567839,0.700389,Consumer Services,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"This “less in more” strategy not 
only feels more doable for parents, but 
it also enables trusted messengers in the 
community to create numerous, and thus 
reinforcing, touch points in places where 
families spend time, including laundromats, 
houses of worship, convenience stores, WIC 
offices, and libraries.",0.912844,2.02756,2.821981,1.671237,6.705365,9.348933,5.667315,0.555163,1.319878,5.929143,2.500882,2.774816,0.989903,1.536084,1.517072,1.47583,1.870521,1.298226,0.823153,0.676047,2.166662,0.50502,4.412743,2.154323,2.990593,7.233592,4.785592,1.698037,0.558317,1.520679,1.434496,1.913146,1.847208,1.863686,3.820368,3.313983,2.294028,0.568321,1.87531,0.621942,Consumer Services,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"Chicago PlayStreets —a community 
engagement initiative led by the Chicago 
Department of Public Health—provides a SCALING PLAYFUL LEARNING15
different sort of example of the importance 
of clear and practical communication.",0.563999,2.772751,3.013501,1.336111,3.089284,10.96305,3.882195,0.765697,1.108014,0.56551,0.956247,4.647067,1.061983,1.79796,1.19959,2.198444,2.47654,2.610148,0.75845,1.323429,2.074508,0.692124,8.734571,1.851669,6.844863,1.784881,2.323603,1.947258,0.697583,3.461871,1.634134,1.646778,0.855068,1.469365,4.220073,3.152431,2.090852,1.473548,4.844972,1.109876,Consumer Services,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"PlayStreets encourages active play for 
children and adults by transforming 
residential streets into safe gathering spaces 
for families for a short period (typically three 
to five hours) of time.",0.406239,3.243013,3.098142,1.090279,4.199312,11.141229,1.51174,0.402715,1.817091,1.855984,0.687712,2.169544,1.259048,2.699851,1.234454,0.924124,2.082171,1.695014,0.766449,0.866508,2.382368,0.377924,12.403221,1.690753,3.197933,4.927809,2.824938,1.480769,0.857674,1.593464,0.865219,2.886653,1.958263,2.8421,4.722388,4.821518,2.849984,1.090533,2.277639,0.798231,Municipalities and Cities,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"A key to the success of 
this community initiative is communicating 
to residents the important link between 
physical activity and play for improved 
cognitive, social, and physical health and 
development—and how closing streets is a 
low-cost way to facilitate fun, exercise, and 
socialization when other play spaces are 
limited.",0.360421,2.453483,2.266072,1.201541,8.203281,7.62254,3.523694,0.42916,1.079022,0.597149,0.955547,2.447948,0.655555,1.776534,0.905134,1.252336,1.70181,1.604186,1.066761,0.608583,1.500402,0.45307,15.126756,1.26829,6.801795,1.389688,5.963267,1.572164,0.59033,1.434103,0.676286,3.235073,0.906962,1.195331,3.790161,2.624977,2.339516,1.788644,5.743719,0.88871,Municipalities and Cities,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"If kept clear and to-the-point, these 
messages can help break down a major implementation barrier to PlayStreets —
residents not wanting to move their cars off 
the street.",0.659216,2.522993,5.858458,1.109006,3.374703,9.96903,4.105852,0.356043,1.325191,0.66855,1.19062,4.932124,1.438759,2.357944,0.752767,1.24725,3.309815,3.770087,1.113425,1.341122,3.984136,0.816953,8.92042,2.427335,2.449861,2.068592,2.374335,2.70471,1.19588,1.277113,2.951158,3.01317,1.20723,1.74458,1.875804,3.707276,1.781235,1.404994,1.463168,1.229095,Consumer Services,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"Giving residents more motivation 
to move their cars and another place to park 
them (e.g., an empty school parking lot) can 
help boost these efforts’ success.",0.555463,1.790233,2.327285,0.768544,3.43673,9.435075,2.100851,0.270045,3.069888,0.57207,1.723597,2.384117,0.405012,3.634231,0.804251,1.016455,3.300474,0.896078,0.556498,1.364015,1.066994,0.312432,23.670625,1.064186,1.990758,2.752485,3.046032,3.816788,0.64798,0.673628,0.757713,4.871806,0.783139,1.018644,1.300753,1.695923,2.035889,0.969727,6.172814,0.940772,Municipalities and Cities,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"Encouraging learning through play should 
not feel like a complicated endeavor—for 
parents, or for the public sectors and other 
entities working to facilitate it in their 
communities.",0.451226,2.197772,3.351526,1.088932,7.026972,7.419232,1.732489,0.394927,0.594459,1.398505,1.01582,2.029305,1.025803,5.183816,1.141893,1.347486,3.871107,2.044372,1.289302,1.006812,1.488417,0.508626,5.056593,0.803418,7.267796,9.697091,4.846913,1.626286,0.986905,2.335698,0.856002,3.952838,0.707242,0.798519,2.919151,3.34603,1.421888,1.193961,3.693182,0.881689,Parents,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"Finding, and sticking to, a 
message that works makes it easier for 
everyone to integrate playful learning into 
their lives and work.",0.630185,6.405276,3.138571,1.696045,2.447672,15.883236,9.289817,0.461207,0.581256,0.637202,0.984028,3.616713,1.001626,1.631941,0.614779,1.719926,3.040213,1.503392,0.873548,0.528136,2.04738,0.47161,2.121625,3.948101,3.847027,1.826282,1.736748,1.210698,0.302031,3.167001,0.914571,1.117354,1.25966,2.020377,2.252894,5.202966,3.552981,1.61328,4.157978,0.544669,Consumer Services,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
Urban Thinkscape.,0.517643,15.432907,11.542558,1.234119,1.421741,3.407635,7.15206,0.429089,2.099312,0.387612,1.934003,2.971665,0.487542,0.720977,0.908896,1.256787,3.273296,0.534977,0.356806,0.677579,2.614035,0.760275,14.600813,1.197195,1.77823,0.504089,1.021895,1.546523,0.340465,1.857159,0.622829,1.944289,1.999159,2.589277,1.787963,2.303965,2.46114,0.590719,2.112868,0.619909,Artists,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
Photo credit: Sahar Coston-Hardy.,2.402878,22.569909,6.927227,1.074005,0.802529,2.777977,5.239434,1.086494,1.485546,0.351842,2.191661,2.691206,2.078343,0.309078,0.878919,1.753718,6.290555,0.536733,0.449347,1.510567,9.189022,0.613475,0.440999,1.792905,0.817107,0.540416,0.690766,0.770467,0.383003,1.905718,1.491495,0.270474,1.291164,2.762121,2.172994,5.782704,0.733003,2.58138,1.750331,0.61249,Artists,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"SCALING PLAYFUL LEARNING16
5.",0.698826,4.17059,11.000023,0.817775,2.102659,11.602838,3.700623,0.566989,0.340554,0.564335,0.952803,3.652378,2.22939,1.551116,1.046239,1.041243,4.514109,1.606569,1.344351,0.742136,5.61108,0.998604,1.325811,1.36177,3.756943,1.767981,1.530862,0.714137,0.645516,1.855025,1.796122,1.27633,0.885011,1.903926,2.645478,4.634062,1.499336,3.939175,6.347317,1.259968,Consumer Services,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"Clear the way
PLL is a nascent field that brings together 
stakeholders and decisionmakers from two 
very different areas—the learning sciences 
and placemaking.",1.049586,1.74327,2.061308,0.645049,5.936508,6.786358,1.341217,0.590186,0.494307,0.541999,1.159001,1.95201,1.550343,2.488277,2.073468,1.104889,5.098823,5.553112,4.444128,0.612383,3.271371,3.454888,1.950436,1.183641,13.696882,0.940198,3.772777,0.864737,0.989785,2.047491,2.428259,1.783711,0.451401,1.143047,0.71943,4.428605,0.982575,0.915512,6.219716,1.529316,Organizations,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"As such, finding common 
ground between the two areas can be 
challenging—most learning scientists do 
not know much about urban planning and 
design and vice versa.",0.918727,4.262285,5.119376,0.691299,3.543991,7.627809,1.387954,0.661278,1.453537,0.436073,1.245532,1.464003,0.624548,2.218258,2.123467,1.962057,5.001083,1.930543,1.61492,0.738774,1.720008,0.987,7.838919,0.59791,6.713879,2.712172,2.323321,1.307393,0.677887,4.004576,1.45117,3.573,0.719959,1.336994,1.796642,1.526378,1.650093,1.20488,9.312668,3.519633,Students,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"Similarly, most city 
agency staff are unlikely to see playful 
learning as part of their purview—largely 
because it never has been.",1.058265,3.244189,3.743033,1.720258,1.395299,11.834502,1.464529,0.646324,0.717845,0.934847,1.023323,3.308346,1.232904,1.843689,1.93349,2.604705,3.938475,1.702354,1.336003,0.758789,2.048017,0.820089,8.439312,0.831308,7.651093,2.330657,1.036554,2.296589,0.811523,3.441233,2.252914,2.846219,0.777641,1.048532,4.085999,3.672895,1.370443,2.068796,3.303007,2.42601,Consumer Services,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"Until the idea of 
playful learning truly takes hold, partnerships 
are formed, and communities are engaged 
to advocate for it, agency staff are unlikely 
to even know about efforts and strategies, 
let alone understand how to embed them 
in current practices.",0.700675,3.150166,2.639073,1.841957,3.112261,10.341469,1.937818,0.433593,0.675229,1.013611,0.937195,2.793619,0.791407,1.870946,1.009013,2.396267,3.31201,2.9759,1.753179,0.699494,1.372957,0.663579,4.013333,1.006471,20.130973,1.915496,2.594665,1.275586,0.697493,2.771947,1.423051,2.094514,0.681196,1.046187,2.772678,3.576247,1.44368,1.246995,3.94841,0.939656,Organizations,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"Moreover, without a 
remit to facilitate existing efforts by other 
organizations or even other agencies—say, to 
develop a streamlined permitting process for 
a street closure—city staff can inadvertently 
make them harder to implement.",1.280292,1.505793,2.335178,1.649508,3.268937,9.835289,1.784859,0.562938,1.539424,0.842564,1.477633,2.680831,0.888438,2.160938,1.97741,4.078625,1.876533,3.129841,2.157368,1.539569,1.541725,1.29848,11.527811,0.64765,11.11109,1.10356,2.555935,2.448144,1.811002,2.271781,2.042339,3.356739,0.540411,0.618794,1.200233,4.889609,0.762006,0.840835,1.505281,1.354611,Municipalities and Cities,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"One way to overcome this challenge is 
training urban planners and designers—
whether public employees or private 
actors with whom cities might contract—
to embed playful learning into projects 
and programs from the start so it is not 
seen as an added effort, or added cost.",1.373845,7.244171,2.787721,1.29712,2.542008,8.391357,2.063194,0.415396,1.201477,0.46485,1.910382,2.080553,0.987606,2.338335,0.678674,4.784644,3.002558,1.396542,0.805586,1.031037,1.921695,0.554103,11.876669,0.890301,3.901316,1.746904,2.38302,2.382096,0.794841,6.937974,0.68611,3.345241,0.685296,1.061001,1.862794,4.924295,1.562801,1.699642,3.150389,0.836457,Municipalities and Cities,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"As mentioned previously, this training needs 
to involve developmental scientists with 
expertise in translating research to practice.",1.143369,2.043764,2.228649,0.730859,4.177991,4.873189,2.554392,2.176539,0.609891,1.040278,1.538748,1.456941,1.587706,3.267242,3.933609,2.608913,4.481815,1.968802,1.370509,1.368973,1.921898,0.740078,1.954765,0.510236,8.377452,5.730415,2.305376,1.189003,0.517589,11.330013,0.833116,2.25453,0.414459,0.566965,1.790533,5.533648,0.473895,1.188788,5.491659,1.713405,Professionals,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"As an interviewee from Philadelphia shared, 
“Ten or fifteen years ago I think designers 
had to go beyond their typical designs to 
incorporate strategies for sustainability.",1.622087,10.831325,4.021335,1.988253,1.457906,8.654801,1.101031,0.648007,1.006681,0.396989,2.660084,3.060491,3.456542,0.706789,0.521563,3.533869,9.644064,1.287336,0.731704,0.656859,9.45178,1.216036,1.868547,0.865954,3.098845,1.406809,1.670057,1.104807,0.719855,3.994621,1.601953,0.987188,1.331921,3.299024,2.640617,3.086175,0.818089,0.861231,1.243521,0.745254,Artists,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"Now 
it’s happening inherently.",1.054535,5.786321,15.391012,0.958041,1.656664,4.310366,2.561482,0.659664,0.480404,0.525832,1.033015,3.519953,2.073122,2.550639,1.131706,0.530519,8.264764,2.337007,3.065554,0.966547,7.943769,1.732086,0.957789,0.872499,4.040587,2.063371,1.129994,1.494054,0.727134,1.592937,7.965325,1.096652,0.693367,0.607017,0.595067,2.456288,0.640812,1.621243,1.779517,1.133347,Books and Literature,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"It’s part of the 
design.",1.353891,9.89202,5.349599,1.784368,1.094588,10.98596,1.298278,0.569901,0.517937,0.623959,1.382219,4.772391,3.996136,1.022662,1.034413,0.945729,1.664873,1.660957,1.158307,0.465015,22.011848,1.134969,1.22229,0.691143,3.549008,0.858345,0.835075,0.578548,0.535226,1.815525,2.174097,1.061992,1.059138,1.766218,0.702181,5.770812,0.542611,0.511835,1.219954,0.385979,Manufacturers,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"And so the ideas for playful learning…
that is just something we want automatically 
incorporated into everything that we’re 
doing.”",0.499461,7.554685,5.064498,1.004855,1.265526,26.661804,2.059552,0.412323,0.351064,0.448505,1.049632,2.652317,1.34569,1.955974,0.615431,0.996039,6.784172,0.899946,0.879655,0.410883,2.811836,0.367552,1.584071,1.297419,3.964291,4.240406,1.103419,0.843914,0.381116,2.064981,1.304125,1.109399,1.040962,1.878219,1.548198,2.817647,1.4282,1.74661,4.600244,0.955379,Consumer Services,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"This might include the redesign of 
a public space, the rehabilitation of a bus 
shelter, or a repainting of the DMV—all of 
which provide new opportunities to include 
playful learning activities and messages.",0.751956,5.932069,2.408997,0.781984,2.433515,21.604777,2.952622,0.473523,1.02483,0.55357,1.017309,3.081191,1.031822,2.305799,1.566066,1.652706,1.461913,1.078151,0.758097,0.632142,3.354402,0.509689,11.201952,1.357976,4.504563,0.65262,2.525348,1.47427,0.589028,1.805414,0.789759,1.914505,0.788903,2.502231,1.678361,5.215182,0.971858,0.815745,3.148691,0.696462,Consumer Services,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"In short, cities can engage in playful learning 
through many entry points—but they need 
to prioritize and socialize the idea, learn from 
(and partner with) existing organizations 
and efforts, and educate and support staff 
to grease the wheels.",0.580903,5.268113,3.064806,1.726246,2.266565,9.159471,1.79033,0.370371,0.974622,0.593553,1.085512,4.818424,0.828872,2.345905,0.869535,1.60829,2.92473,1.775707,0.682729,0.672192,1.815426,0.650064,14.86468,1.324823,5.401907,2.409188,1.920705,1.734245,0.590857,3.011166,1.108637,3.793244,1.297583,1.777791,3.571825,2.540449,2.271012,1.472418,3.947689,1.089413,Municipalities and Cities,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"As another interviewee 
put it, “Play everywhere is an elegantly 
simple concept—it’s an inexpensive, small-
scale intervention...The biggest hurdle is the 
permissions and the permitting and what’s 
allowable in the public realm.",0.498341,4.296016,10.151514,1.60464,2.857392,7.526076,2.676065,0.640341,1.369873,0.432991,0.980194,3.999346,1.255687,2.062541,1.020012,2.265972,7.282116,3.100821,2.364958,2.192965,3.528004,1.16603,2.109912,1.445399,3.051088,2.197954,1.865278,1.995249,1.128707,2.976639,2.042243,1.529692,1.120442,1.49824,1.81183,3.280399,3.069763,2.051108,2.256118,1.298042,Books and Literature,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"That ranges 
from place to place.”",0.985994,5.676009,6.981742,1.139565,1.151354,7.464066,3.504686,0.602011,2.969191,0.6513,1.574247,9.541219,2.230586,0.910757,1.445329,1.572566,2.39363,2.326578,1.516933,1.204032,6.358243,3.418475,1.504748,2.867176,2.240762,1.249005,0.762222,0.95129,0.72516,2.261731,3.490869,1.057581,2.086196,6.352228,1.036561,2.723255,1.285069,1.140663,1.799363,0.847603,Franchise Operations,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"Making it easy should 
not be hard, if the will and commitment 
exists to do so.",1.303739,3.136726,3.3345,1.93154,4.997631,10.761444,4.011947,0.760342,1.345827,1.001772,3.384157,2.723997,1.196176,3.125691,1.207757,2.839267,6.664064,1.384585,1.457492,1.43887,3.281452,0.867119,2.235749,1.186673,2.661502,3.077712,3.26469,2.324903,1.231708,5.685246,1.188409,1.443079,0.910139,0.662969,1.513034,3.046919,1.984657,2.235508,2.413315,0.777689,Consumer Services,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"SCALING PLAYFUL LEARNING17
Conclusion
Under ordinary circumstances, children 
spend 80 percent of their waking time 
outside the classroom.",0.640082,3.152433,9.853544,1.169709,2.17994,10.59515,2.08618,0.525175,0.321588,0.806559,1.022107,2.143613,1.350843,1.551354,2.008001,1.186554,4.369561,1.751226,1.76791,0.734545,3.062082,0.505367,1.577458,0.617178,2.78969,11.323442,1.187318,1.119203,1.462067,1.437821,1.933482,1.445859,1.234986,1.500015,4.28335,2.329529,1.473284,1.409385,7.76012,2.33229,Parents,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"The COVID-19 
pandemic has abruptly turned that 80 
percent into 100 percent.",1.113986,4.10378,9.524102,0.756474,1.105326,9.933642,1.481543,1.474456,0.300029,0.492475,1.080312,1.939605,1.405314,3.071172,3.343929,0.506239,6.224706,2.774168,3.345744,0.573121,4.977731,2.674062,1.139807,0.887019,3.246754,1.343594,0.914566,1.214149,0.743355,2.80657,11.64554,1.868902,1.060757,1.02176,1.945067,1.706263,0.629709,1.78515,2.323739,1.515383,Public Companies,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"With learning 
taking place entirely outside of the classroom 
for many children, the role of families and 
the community has been elevated as a 
critical component of education and healthy 
development.",0.45103,1.696585,3.106832,1.167858,9.0513,5.350785,2.269979,0.556136,0.45956,2.551038,1.156647,1.777414,0.855152,3.386762,2.224271,1.658605,4.224192,1.361855,1.799284,0.554318,1.571529,0.501175,3.618964,0.425807,7.749975,10.793385,6.715775,2.006774,1.306771,1.530255,0.998021,2.338313,1.075969,0.988793,1.82089,1.861763,1.162624,1.083638,5.517499,1.272478,Parents,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"Some families can navigate 
this terrain by virtue of their privileged 
circumstances and having high-quality digital 
equipment and access, the resources to hire 
tutors, and access to safe spaces for their 
children to run and play.",0.736288,2.3688,2.103561,1.560443,6.051539,7.04576,2.806135,0.726756,0.958199,4.859461,1.243904,3.003369,2.354568,1.620637,1.777288,1.881647,3.472861,2.1939,1.426326,0.968758,3.268505,0.595398,2.443027,1.627611,3.365548,11.482598,3.070496,1.159605,1.007591,2.137136,1.295835,1.662675,0.960464,1.750205,2.976084,7.182187,1.519974,0.918587,1.820069,0.596203,Parents,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"But many more 
children will be left behind, as new barriers to 
learning are erected on top of those already 
in place by decades of discriminatory policies 
and practices.",0.743678,2.068181,10.100195,0.620122,5.8813,4.623181,2.789468,0.500198,0.4811,1.638953,1.919543,1.817493,1.089106,3.659044,1.531653,0.786254,7.182119,2.43632,2.455202,1.175223,3.821889,0.682204,2.096406,0.769532,3.856688,10.756116,3.264684,2.377574,0.665488,1.072583,2.034047,2.063036,0.535637,1.024131,2.776677,1.489821,1.142075,1.005191,3.652929,1.41496,Parents,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"They may never have the 
chance to catch up.",1.213429,1.965922,15.994882,1.045911,1.443703,1.911804,2.897145,0.487673,0.87563,1.704828,1.528954,4.895391,0.950233,1.148723,1.38642,0.744497,8.210822,2.301316,3.343202,1.978431,3.420082,2.169443,1.183689,0.835507,4.497664,3.049344,0.958458,2.063395,0.826409,1.296043,8.341356,1.202732,1.413379,0.73809,2.006556,1.174003,2.02992,3.516204,1.103693,2.145116,Books and Literature,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"But with crisis comes opportunity—a 
moment for communities to extend beyond 
traditional educational programs and venues 
to create an ecosystem of learning that 
maximizes the chance for children to engage 
in playful learning as part of their daily 
routine.",0.479508,2.786466,6.514043,0.631504,3.976438,8.825105,3.330826,0.319195,0.338812,1.045105,0.903221,2.736676,0.530416,3.502861,1.448399,0.920069,4.371675,2.07671,2.25884,0.393011,1.360944,0.521103,5.590698,0.967894,10.950994,2.22748,4.173095,0.914369,0.404202,1.47237,0.593036,2.712754,1.127204,1.02355,1.477925,1.935366,2.042272,0.755079,11.37966,0.981123,Students,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"This new and improved “normal” 
would provide a surround sound of learning—
through signs at the supermarket, reading 
nooks at the laundromat, activities at the bus 
stop, and games on sidewalks, among many 
other possibilities.",0.606058,2.660646,3.885701,0.705668,2.321742,30.821471,2.699911,0.493828,0.508373,0.578786,0.95638,3.963286,1.332549,1.314186,1.273999,1.084922,3.013689,0.889323,0.628861,0.358671,2.78567,0.369647,2.996343,3.084034,2.223775,1.106483,1.801287,1.591211,0.370703,1.344743,1.029227,0.802891,1.400328,6.230207,3.011389,3.368978,1.313077,0.84105,3.368929,0.861979,Consumer Services,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"PLL provides a successful 
model, backed by evidence, of how to create 
such an ecosystem by transforming everyday 
spaces into learning environments—in turn 
reducing educational inequities for vulnerable 
children, their families, and communities.",0.551838,1.39016,2.567025,0.48605,14.899611,6.474863,1.545783,0.442458,0.389445,0.790687,1.04096,1.794639,0.906209,3.537726,1.832423,0.919208,4.507121,3.485079,3.912752,0.433656,1.882928,1.043841,3.722401,1.3865,9.491029,1.308208,7.810871,0.802043,0.587794,1.357037,0.896728,2.534984,0.529971,0.77055,0.65777,2.780144,0.914981,0.523173,8.0346,1.056754,Charitable Trusts and NGOs,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"As 
cities in the U.S. and abroad continue to build 
more child-friendly cities, they can look to 
this “north star” for ideas, and tailor them to 
their own context.",0.587037,4.73692,6.19912,1.302351,2.21208,6.047783,1.67809,0.477969,1.04861,1.083474,1.598721,4.366059,1.086243,2.422647,1.221596,1.149094,4.753552,1.167661,0.821247,0.585954,3.616661,0.988139,15.573366,1.146978,2.87533,4.757362,2.001347,1.933235,0.781894,1.979257,1.211261,4.846626,1.879404,2.012644,1.289497,2.111636,2.551067,0.576392,2.375612,0.946084,Municipalities and Cities,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"The steps outlined above 
provide guidance for how public, nonprofit, community, and private sector actors can 
work together to successfully implement and 
scale such efforts.",1.072318,1.685599,1.205879,1.667499,7.297037,8.644354,2.496732,0.544365,1.619325,1.443002,2.584478,1.979824,0.66817,4.336603,0.89658,2.543885,2.743377,4.109245,1.331768,0.967673,1.474634,1.377451,5.159714,0.968237,10.586775,1.221632,7.537301,2.315148,2.207477,4.323112,1.157572,2.343305,0.705635,0.716044,1.077163,2.898497,1.170685,0.588976,1.638352,0.694579,Organizations,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
"The impacts of COVID-19 make it even 
more apparent that we need to rethink our 
priorities for building more livable, equitable, 
and vibrant cities.",0.737653,3.202095,4.913315,0.518373,4.304432,6.334989,1.989875,0.559902,0.874808,0.411204,1.758507,3.309272,0.931733,5.82253,1.145262,1.014221,4.161384,3.851782,1.596398,0.766286,2.871749,1.173199,13.110607,1.154898,5.894551,1.061301,3.250709,2.509473,0.401957,1.474036,1.503553,7.20248,0.731226,0.997847,1.559907,1.478648,1.228323,0.711145,2.633571,0.846798,Municipalities and Cities,Scaling-Playful-Learning_Hadani-Vey_Final.pdf
